AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget,BAR_score
0.12898973621138896,0.5065611333333333,0.22957847106453919,0.13030548796972155,0.964,0.9651,1446,9651,349,54,0.0,0.0,500,0.13043478260869565,2,3,medium,CA-DIF-EIA (streaming),42,,500,0.02579794724227779
0.12981259786319427,0.5024916666666667,0.21836126246530277,0.12908715206028928,0.708,0.7165,1062,7165,2835,438,0.0,0.0,0,0.13043478260869565,2,3,medium,CA-DIF-EIA (streaming),123,,0,12.981259786319427
0.12981259786319427,0.5024916666666667,0.21836126246530277,0.12908715206028928,0.708,0.7165,1062,7165,2835,438,0.0,0.0,500,0.13043478260869565,2,3,medium,CA-DIF-EIA (streaming),123,,500,0.025962519572638853
0.12992095983873353,0.5048081666666667,0.2244640605296343,0.13134294471563174,0.7713333333333333,0.7652,1157,7652,2348,343,0.0,0.0,0,0.13043478260869565,2,3,medium,CA-DIF-EIA (streaming),456,,0,12.992095983873353
0.12992095983873353,0.5048081666666667,0.2244640605296343,0.13134294471563174,0.7713333333333333,0.7652,1157,7652,2348,343,0.0,0.0,500,0.13043478260869565,2,3,medium,CA-DIF-EIA (streaming),456,,500,0.025984191967746706
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,hard,sHST-River,42,,0,56.52173913043478
0.159025397395807,0.6085649666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,hard,sHST-River,42,,500,0.031805079479161405
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,hard,sHST-River,123,,0,56.52173913043478
0.15652794151236699,0.6011352,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,hard,sHST-River,123,,500,0.031305588302473396
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,hard,sHST-River,456,,0,56.52173913043478
0.15989836166496701,0.6056557,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,hard,sHST-River,456,,500,0.031979672332993404
0.12666063938555105,0.49173,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,hard,MemStream,42,,0,12.666063938555105
0.0998531409061262,0.40281493333333335,0.177629958117763,0.10894530069507403,0.4806666666666667,0.5897,721,5897,4103,779,0.0,0.0,500,0.13043478260869565,2,3,hard,MemStream,42,,500,0.01997062818122524
0.12666063938555105,0.49173,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,hard,MemStream,123,,0,12.666063938555105
0.09959414850841285,0.40079980000000004,0.17880388063367308,0.1095890410958904,0.48533333333333334,0.5915,728,5915,4085,772,0.0,0.0,500,0.13043478260869565,2,3,hard,MemStream,123,,500,0.01991882970168257
0.12666063938555105,0.49173,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,hard,MemStream,456,,0,12.666063938555105
0.0991836194669674,0.39814113333333334,0.1782350024789291,0.10947015834348356,0.47933333333333333,0.5849,719,5849,4151,781,0.0,0.0,500,0.13043478260869565,2,3,hard,MemStream,456,,500,0.01983672389339348
0.1289174191660167,0.5056839333333333,0.22956024765835847,0.13029374662101278,0.964,0.9652,1446,9652,348,54,0.0,0.0,0,0.13043478260869565,2,3,hard,CA-DIF-EIA (streaming),42,,0,12.89174191660167
0.1289174191660167,0.5056839333333333,0.22956024765835847,0.13029374662101278,0.964,0.9652,1446,9652,348,54,0.0,0.0,500,0.13043478260869565,2,3,hard,CA-DIF-EIA (streaming),42,,500,0.025783483833203343
0.13031836526822482,0.5044244,0.21770156566194482,0.129547471162378,0.6813333333333333,0.6867,1022,6867,3133,478,0.0,0.0,0,0.13043478260869565,2,3,hard,CA-DIF-EIA (streaming),123,,0,13.031836526822483
0.13031836526822482,0.5044244,0.21770156566194482,0.129547471162378,0.6813333333333333,0.6867,1022,6867,3133,478,0.0,0.0,500,0.13043478260869565,2,3,hard,CA-DIF-EIA (streaming),123,,500,0.026063673053644966
0.13083308763141183,0.5062299333333333,0.22401086113266097,0.13107126645483433,0.77,0.7657,1155,7657,2343,345,0.0,0.0,0,0.13043478260869565,2,3,hard,CA-DIF-EIA (streaming),456,,0,13.083308763141183
0.13083308763141183,0.5062299333333333,0.22401086113266097,0.13107126645483433,0.77,0.7657,1155,7657,2343,345,0.0,0.0,500,0.13043478260869565,2,3,hard,CA-DIF-EIA (streaming),456,,500,0.026166617526282365
