fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
6,easy,METER-SCD,789,0.8869630984014213,0.9248345830205701,0.0378714846191488
6,easy,METER-SCD,1024,0.89001471059404,0.9364575155251086,0.04644280493106856
6,hard,METER-SCD,42,0.6261554581105858,0.6771774702796743,0.051022012169088526
6,hard,METER-SCD,123,0.6053726407814697,0.6583091035896232,0.05293646280815356
6,hard,METER-SCD,456,0.6206124140697509,0.6623241892455803,0.04171177517582947
6,hard,METER-SCD,789,0.5972086757272113,0.6782668289136783,0.08105815318646703
6,hard,METER-SCD,1024,0.6137141743808627,0.660418541731314,0.04670436735045125
6,medium,METER-SCD,42,0.7489488005131704,0.8174818078205506,0.06853300730738021
6,medium,METER-SCD,123,0.7649621510052391,0.801281491200696,0.036319340195456906
6,medium,METER-SCD,456,0.7658383805536555,0.8140102493118037,0.04817186875814816
6,medium,METER-SCD,789,0.7512912870424635,0.8175338635444458,0.06624257650198229
6,medium,METER-SCD,1024,0.761865117996262,0.828738768160927,0.06687365016466496
7,easy,METER-SCD,42,0.903286254510276,0.9283363427581091,0.025050088247833058
7,easy,METER-SCD,123,0.911989863931489,0.9302789865330077,0.018289122601518715
7,easy,METER-SCD,456,0.916385932858721,0.9219272388032572,0.005541305944536168
7,easy,METER-SCD,789,0.8901360355112028,0.9403900990307533,0.05025406351955053
7,easy,METER-SCD,1024,0.9008710532144201,0.9280882927811377,0.02721723956671762
7,hard,METER-SCD,42,0.624299682419343,0.6773855935073134,0.05308591108797045
7,hard,METER-SCD,123,0.5960213651536134,0.6814708033966619,0.08544943824304851
7,hard,METER-SCD,456,0.6211307746867831,0.6525639619149923,0.0314331872282092
7,hard,METER-SCD,789,0.5985701862013557,0.6834543523231058,0.0848841661217501
7,hard,METER-SCD,1024,0.6122789444055401,0.6624488015197885,0.05016985711424837
7,medium,METER-SCD,42,0.7701693596156105,0.8236543255214417,0.05348496590583118
7,medium,METER-SCD,123,0.7667852670921713,0.8208098446418883,0.05402457754971701
7,medium,METER-SCD,456,0.7692686108005891,0.802238876655589,0.03297026585499996
7,medium,METER-SCD,789,0.7455006448980606,0.8305487451024914,0.08504810020443088
7,medium,METER-SCD,1024,0.7634378522436049,0.8167962700482919,0.053358417804686975
8,easy,METER-SCD,42,0.9030131990616755,0.9273336137779377,0.024320414716262118
8,easy,METER-SCD,123,0.9215748149458552,0.9167323742741305,-0.00484244067172479
8,easy,METER-SCD,456,0.908245838875037,0.931049696033276,0.02280385715823907
8,easy,METER-SCD,789,0.9012255148128221,0.9411373495345642,0.03991183472174209
8,easy,METER-SCD,1024,0.8831958109427693,0.9296688914468506,0.04647308050408128
8,hard,METER-SCD,42,0.6316072129354339,0.6844218334293274,0.052814620493893516
8,hard,METER-SCD,123,0.6066077608007747,0.6893077705686743,0.0827000097678996
8,hard,METER-SCD,456,0.6212624893258504,0.6730562117960746,0.05179372247022418
8,hard,METER-SCD,789,0.5963601938688897,0.7065944316206818,0.11023423775179209
8,hard,METER-SCD,1024,0.6173593659894607,0.6731845192677182,0.05582515327825743
8,medium,METER-SCD,42,0.7689166555871926,0.8256593412500599,0.05674268566286733
8,medium,METER-SCD,123,0.7766470337153182,0.8144947462243142,0.03784771250899599
8,medium,METER-SCD,456,0.7557285587163504,0.8220221376426691,0.06629357892631871
8,medium,METER-SCD,789,0.7547202483166043,0.8350417399342376,0.08032149161763324
8,medium,METER-SCD,1024,0.7640994368549835,0.8253359639166745,0.061236527061691026
9,easy,METER-SCD,42,0.8968467907497232,0.9205969960851217,0.02375020533539851
9,easy,METER-SCD,123,0.9235958284349118,0.9181980984914913,-0.005397729943420582
9,easy,METER-SCD,456,0.908906951611297,0.9433311292693907,0.03442417765809369
9,easy,METER-SCD,789,0.9061336229708353,0.9515611762231292,0.04542755325229386
9,easy,METER-SCD,1024,0.9309415654190399,0.9451290294545701,0.014187464035530173
9,hard,METER-SCD,42,0.6377973552192976,0.687281199434036,0.04948384421473839
9,hard,METER-SCD,123,0.6248015681580399,0.6969179239796703,0.07211635582163045
9,hard,METER-SCD,456,0.6453908953673382,0.7022238203591433,0.056832924991805145
9,hard,METER-SCD,789,0.6301314414261079,0.713976193180599,0.08384475175449113
9,hard,METER-SCD,1024,0.6428606261202698,0.6794114136154186,0.03655078749514873
9,medium,METER-SCD,42,0.7733941414847914,0.8207802993766463,0.04738615789185496
9,medium,METER-SCD,123,0.7816901971514147,0.8110501998169427,0.029360002665527962
9,medium,METER-SCD,456,0.7794888531717739,0.8392098775859439,0.05972102441417004
9,medium,METER-SCD,789,0.7739136298075335,0.8523522285344094,0.07843859872687586
9,medium,METER-SCD,1024,0.7986304262344871,0.8444033665930337,0.04577294035854662
